fid,cid
237119,china-construction-bank-corporation-beijing-china-chn
225074,china-construction-bank-corporation-beijing-china-chn
227830,china-construction-bank-corporation-beijing-china-chn
237123,china-construction-bank-corporation-beijing-china-chn
225073,china-construction-bank-corporation-beijing-china-chn
227832,china-construction-bank-corporation-beijing-china-chn
223684,china-construction-bank-corporation-beijing-china-chn
227836,china-construction-bank-corporation-beijing-china-chn
223688,china-construction-bank-corporation-beijing-china-chn
225078,china-construction-bank-corporation-beijing-china-chn
225082,china-construction-bank-corporation-beijing-china-chn
225083,china-construction-bank-corporation-beijing-china-chn
237116,china-construction-bank-corporation-beijing-china-chn
237118,china-construction-bank-corporation-beijing-china-chn
237121,china-construction-bank-corporation-beijing-china-chn
225077,china-construction-bank-corporation-beijing-china-chn
223691,china-construction-bank-corporation-beijing-china-chn
223690,china-construction-bank-corporation-beijing-china-chn
223692,china-construction-bank-corporation-beijing-china-chn
223686,china-construction-bank-corporation-beijing-china-chn
223689,china-construction-bank-corporation-beijing-china-chn
227838,china-construction-bank-corporation-beijing-china-chn
227831,china-construction-bank-corporation-beijing-china-chn
225079,china-construction-bank-corporation-beijing-china-chn
223687,china-construction-bank-corporation-beijing-china-chn
225076,china-construction-bank-corporation-beijing-china-chn
237117,china-construction-bank-corporation-beijing-china-chn
227839,china-construction-bank-corporation-beijing-china-chn
223685,china-construction-bank-corporation-beijing-china-chn
227837,china-construction-bank-corporation-beijing-china-chn
237125,china-construction-bank-corporation-beijing-china-chn
227833,china-construction-bank-corporation-beijing-china-chn
227835,china-construction-bank-corporation-beijing-china-chn
223683,china-construction-bank-corporation-beijing-china-chn
237120,china-construction-bank-corporation-beijing-china-chn
234302,china-construction-bank-corporation-beijing-china-chn
234301,china-construction-bank-corporation-beijing-china-chn
234300,china-construction-bank-corporation-beijing-china-chn
234298,china-construction-bank-corporation-beijing-china-chn
234297,china-construction-bank-corporation-beijing-china-chn
234296,china-construction-bank-corporation-beijing-china-chn
234295,china-construction-bank-corporation-beijing-china-chn
234294,china-construction-bank-corporation-beijing-china-chn
234293,china-construction-bank-corporation-beijing-china-chn
231963,societe-generale-bank-cyprus-ltd-sg-cyprus-cyp
237803,asb-bank-limited-auckland-new-zealand-nzl
237805,asb-bank-limited-auckland-new-zealand-nzl
223874,asb-bank-limited-auckland-new-zealand-nzl
223904,asb-bank-limited-auckland-new-zealand-nzl
223884,asb-bank-limited-auckland-new-zealand-nzl
223877,asb-bank-limited-auckland-new-zealand-nzl
237796,asb-bank-limited-auckland-new-zealand-nzl
238365,asb-bank-limited-auckland-new-zealand-nzl
223908,asb-bank-limited-auckland-new-zealand-nzl
237807,asb-bank-limited-auckland-new-zealand-nzl
223883,asb-bank-limited-auckland-new-zealand-nzl
237801,asb-bank-limited-auckland-new-zealand-nzl
223878,asb-bank-limited-auckland-new-zealand-nzl
223879,asb-bank-limited-auckland-new-zealand-nzl
223903,asb-bank-limited-auckland-new-zealand-nzl
223875,asb-bank-limited-auckland-new-zealand-nzl
223876,asb-bank-limited-auckland-new-zealand-nzl
223881,asb-bank-limited-auckland-new-zealand-nzl
237798,asb-bank-limited-auckland-new-zealand-nzl
223882,asb-bank-limited-auckland-new-zealand-nzl
223898,asb-bank-limited-auckland-new-zealand-nzl
223880,asb-bank-limited-auckland-new-zealand-nzl
237800,asb-bank-limited-auckland-new-zealand-nzl
223907,asb-bank-limited-auckland-new-zealand-nzl
237802,asb-bank-limited-auckland-new-zealand-nzl
223873,asb-bank-limited-auckland-new-zealand-nzl
238366,asb-bank-limited-auckland-new-zealand-nzl
237797,asb-bank-limited-auckland-new-zealand-nzl
237806,asb-bank-limited-auckland-new-zealand-nzl
223909,asb-bank-limited-auckland-new-zealand-nzl
223887,asb-bank-limited-auckland-new-zealand-nzl
223886,asb-bank-limited-auckland-new-zealand-nzl
237804,asb-bank-limited-auckland-new-zealand-nzl
223905,asb-bank-limited-auckland-new-zealand-nzl
223885,asb-bank-limited-auckland-new-zealand-nzl
238363,asb-bank-limited-auckland-new-zealand-nzl
238362,asb-bank-limited-auckland-new-zealand-nzl
223255,asb-bank-limited-auckland-new-zealand-nzl
223254,asb-bank-limited-auckland-new-zealand-nzl
235499,cimb-bank-plc-phnom-penh-cambodia-khm
235494,cimb-bank-plc-phnom-penh-cambodia-khm
235500,cimb-bank-plc-phnom-penh-cambodia-khm
235501,cimb-bank-plc-phnom-penh-cambodia-khm
235498,cimb-bank-plc-phnom-penh-cambodia-khm
235497,cimb-bank-plc-phnom-penh-cambodia-khm
235502,cimb-bank-plc-phnom-penh-cambodia-khm
235503,cimb-bank-plc-phnom-penh-cambodia-khm
225201,united-overseas-bank-limited-singapore-sgp
235111,united-overseas-bank-limited-singapore-sgp
227501,united-overseas-bank-limited-singapore-sgp
228496,united-overseas-bank-limited-singapore-sgp
237298,united-overseas-bank-limited-singapore-sgp
242998,united-overseas-bank-limited-singapore-sgp
242031,united-overseas-bank-limited-singapore-sgp
235139,united-overseas-bank-limited-singapore-sgp
243118,united-overseas-bank-limited-singapore-sgp
232747,united-overseas-bank-limited-singapore-sgp
235144,united-overseas-bank-limited-singapore-sgp
239769,united-overseas-bank-limited-singapore-sgp
235153,united-overseas-bank-limited-singapore-sgp
235312,united-overseas-bank-limited-singapore-sgp
235503,united-overseas-bank-limited-singapore-sgp
237743,united-overseas-bank-limited-singapore-sgp
235110,united-overseas-bank-limited-singapore-sgp
229497,united-overseas-bank-limited-singapore-sgp
237296,united-overseas-bank-limited-singapore-sgp
235138,united-overseas-bank-limited-singapore-sgp
242034,united-overseas-bank-limited-singapore-sgp
229498,united-overseas-bank-limited-singapore-sgp
227511,united-overseas-bank-limited-singapore-sgp
235501,united-overseas-bank-limited-singapore-sgp
237741,united-overseas-bank-limited-singapore-sgp
227500,united-overseas-bank-limited-singapore-sgp
242214,united-overseas-bank-limited-singapore-sgp
232740,united-overseas-bank-limited-singapore-sgp
235311,united-overseas-bank-limited-singapore-sgp
242017,united-overseas-bank-limited-singapore-sgp
238148,united-overseas-bank-limited-singapore-sgp
235145,united-overseas-bank-limited-singapore-sgp
225189,united-overseas-bank-limited-singapore-sgp
242210,united-overseas-bank-limited-singapore-sgp
232730,united-overseas-bank-limited-singapore-sgp
235141,united-overseas-bank-limited-singapore-sgp
227510,united-overseas-bank-limited-singapore-sgp
227509,united-overseas-bank-limited-singapore-sgp
235023,united-overseas-bank-limited-singapore-sgp
232731,united-overseas-bank-limited-singapore-sgp
229504,united-overseas-bank-limited-singapore-sgp
242016,united-overseas-bank-limited-singapore-sgp
242012,united-overseas-bank-limited-singapore-sgp
227505,united-overseas-bank-limited-singapore-sgp
229507,united-overseas-bank-limited-singapore-sgp
235019,united-overseas-bank-limited-singapore-sgp
228490,united-overseas-bank-limited-singapore-sgp
234270,united-overseas-bank-limited-singapore-sgp
228507,united-overseas-bank-limited-singapore-sgp
225199,united-overseas-bank-limited-singapore-sgp
238152,united-overseas-bank-limited-singapore-sgp
237698,united-overseas-bank-limited-singapore-sgp
237299,united-overseas-bank-limited-singapore-sgp
235024,united-overseas-bank-limited-singapore-sgp
237736,united-overseas-bank-limited-singapore-sgp
232732,united-overseas-bank-limited-singapore-sgp
229500,united-overseas-bank-limited-singapore-sgp
234272,united-overseas-bank-limited-singapore-sgp
242021,united-overseas-bank-limited-singapore-sgp
242027,united-overseas-bank-limited-singapore-sgp
243125,united-overseas-bank-limited-singapore-sgp
232733,united-overseas-bank-limited-singapore-sgp
237693,united-overseas-bank-limited-singapore-sgp
243117,united-overseas-bank-limited-singapore-sgp
239764,united-overseas-bank-limited-singapore-sgp
242026,united-overseas-bank-limited-singapore-sgp
242992,united-overseas-bank-limited-singapore-sgp
228492,united-overseas-bank-limited-singapore-sgp
242013,united-overseas-bank-limited-singapore-sgp
229501,united-overseas-bank-limited-singapore-sgp
242217,united-overseas-bank-limited-singapore-sgp
242211,united-overseas-bank-limited-singapore-sgp
235020,united-overseas-bank-limited-singapore-sgp
225196,united-overseas-bank-limited-singapore-sgp
235108,united-overseas-bank-limited-singapore-sgp
232734,united-overseas-bank-limited-singapore-sgp
235022,united-overseas-bank-limited-singapore-sgp
235319,united-overseas-bank-limited-singapore-sgp
235174,united-overseas-bank-limited-singapore-sgp
229506,united-overseas-bank-limited-singapore-sgp
232735,united-overseas-bank-limited-singapore-sgp
243256,united-overseas-bank-limited-singapore-sgp
232741,united-overseas-bank-limited-singapore-sgp
229499,united-overseas-bank-limited-singapore-sgp
242023,united-overseas-bank-limited-singapore-sgp
237984,united-overseas-bank-limited-singapore-sgp
235318,united-overseas-bank-limited-singapore-sgp
235180,united-overseas-bank-limited-singapore-sgp
234269,united-overseas-bank-limited-singapore-sgp
235309,united-overseas-bank-limited-singapore-sgp
