eid,country
azizi-bank-kabul-afghanistan-afg,Afghanistan
maiwand-bank-kabul-afghanistan-afg,Afghanistan
da-afghanistan-bank-kabul-afghanistan-afg,Afghanistan
afgan-united-bank-kabul-afghanistan-afg,Afghanistan
maiwand-bank,Afghanistan
afghan-united-bank-kabul-afghanistan-afg,Afghanistan
new-kabul-bank-kabul-afghansitan-afg,Afghanistan
kabul-bank,Afghanistan
bakhtar-bank-kabul-afghanistan-afg,Afghanistan
bakhtar-bank,Afghanistan
da-afghanistan-bank,Afghanistan
afghanistan-international-bank-kabul-afghanistan-afg,Afghanistan
banca-privada-dandorra-sa,Andorra
mora-banc-grup-sa-andorra-and,Andorra
finibanco-angola-sa,Angola
banco-de-fomento-sarl-angola,Angola
global-bank-of-commerce-ltd,Antigua and Barbuda
global-bank-of-commerce-st-johns-antigua-and-barbuda-atg,Antigua and Barbuda
global-bank-of-commerce-st-johns-antigua-atg,Antigua and Barbuda
armswissbank-cjsc,Armenia
armbusinessbank,Armenia
commonwealth-bank-of-australia,Australia
australia-and-new-zealand-banking,Australia
macquarie-bank-ltd,Australia
ozforex-limited,Australia
national-australia-bank-limited,Australia
st-george-bank-a-division-of-westpac-banking-corp-sydney-australia-aus,Australia
travelex-limited,Australia
commonwealth-bank-of-australia-sidney-australia-aus,Australia
macquarie-bank-limited,Australia
credit-union-australia-ltd,Australia
westpac-banking-corporation-sydney-australia-aus,Australia
australia-new-zealand-bkg-gr-lt-australia-aus,Australia
national-australia-bank-limited-melbourne-australia-aus,Australia
australia-and-new-zealand-banking-sydney-australia-aus,Australia
macquarie-bank-ltd-sydney-australia-aus,Australia
commonwealth-bank-of-australia-sydney-aus,Australia
australia-and-new-zealand-banking-grp-ltd-victoria-australia-aus,Australia
commonwealth-bank-of-australia-sydney-australia-aus,Australia
ozforex-limited-sydney-australia-aus,Australia
western-union-business-solutions-sydney-australia-aus,Australia
bank-of-western-australia-ltd-perth-australia-aus,Australia
suncorp-metway-ltd-brisbane-australia-aus,Australia
national-australia-bank-limited-melbourne-victoria-australia-aus,Australia
macquarie-bank-limited-sydney-australia-aus,Australia
raiffeisen-zentralbank-osterreich-aktiengesellschaft-vienna-austria-aut,Austria
vtb-bank,Austria
vorarlberger-volksbank-gmbh,Austria
meinl-bankag,Austria
capital-bank-grawe-gruppe-ag,Austria
unicredit-bank-austria-ag,Austria
bank-styria-graz-austria-aut,Austria
raiffeisen-bank-international-ag,Austria
raiffeisen-zentralbankoesterreich-ag,Austria
bawag-psk-bank,Austria
raiffeisen-zentralbank-osterreich-vienna-austria-aut,Austria
meinl-bank-ag-viennaaustria-aut,Austria
raiffeisen-zentralbank-oesterreich-ag,Austria
meinl-bank-ag,Austria
raiffeisen-zentralbank-austria-aut,Austria
erste-group-bank-ag-vienna-austria-aut,Austria
meinl-bank-ag-vienna-austria-aut,Austria
vorarlberger-volksbank-gmbh-austria-aut,Austria
erste-group-bank-ag-austria-aut,Austria
vtb-bank-austria-aut,Austria
raiffeisen-bank-international-ag-vienna-austria-aut,Austria
denizbank-ag-vienna-austria-aut,Austria
unicredit-bank-austria-ag-vienna-austria-aut,Austria
raiffeisenlandesbank-linz-austria-aut,Austria
vtb-bank-austria-ag-vienna-austria-aut,Austria
raiffeisen-zentralbank-oesterreich-ag-vienna-austria-aut,Austria
raiffeisen-bank-international-ag-austria-aut,Austria
vorarlberger-volksbank-gmbh-rankweil-austria-aut,Austria
capital-bank-grawe-gruppe-ag-graz-austria-aut,Austria
bank-of-baku,Azerbaijan
atabank-baku-azerbaijan-aze,Azerbaijan
azerpost-baku-azerbaijan-aze,Azerbaijan
gunaybank-joint-stock-bank,Azerbaijan
kapital-bank-baku-azerbaijan-aze,Azerbaijan
winterbotham-trust-company,Bahamas
winterbotham-trust-company-limited,Bahamas
bank-j-safra-sarasin-bahamas-ltd-bahamas-bhs,Bahamas
winterbotham-trust-company-limited-nassau-bahamas-bhs,Bahamas
gonet-bank-and-trust-limited,Bahamas
turk-ekonomi-bankasi-as-bahrain-branch,Bahrain
denizbank-as-bahrain-branch,Bahrain
denizbank-as-bahrain-branch-obu-manama-bahrain-bhr,Bahrain
social-islami-bank-ltd-dhaka-bangladesh-bgd,Bangladesh
rupali-bank,Bangladesh
islami-bank-bangladesh-ltd-dhaka-bangladesh-bgd,Bangladesh
scb-bangladesh-dhaka-bangladesh-bgd,Bangladesh
social-islami-bank-limited-dhaka-bangladesh-bgd,Bangladesh
rbc-royal-bank-barbados-ltd-brb,Barbados
j-and-t-bank-and-trust,Barbados
amicorp-bank-and-trust-ltd-barbados-brb,Barbados
rbc-royal-bank,Barbados
amicorp-bank-and-trust-ltd,Barbados
first-caribbean-international-bank-barbados-brb,Barbados
firstcaribbean-international-bank,Barbados
rbc-royal-bank-barbados-ltd-barbados-brb,Barbados
bank-belveb-ojsc-belarus-blr,Belarus
belarusky-narodny-bank,Belarus
belvnesheconombank-minsk-belarus-blr,Belarus
ing-belgium-nvsa,Belgium
euroclear-bank,Belgium
ing-belgium-s-a-belgium-bel,Belgium
credit-to-euroclear-bank-sa-brussels-belgium-bel,Belgium
jpmorgan-international-bank,Belgium
jpmorgan-chase-bank-national,Belgium
euroclear-bank-sa,Belgium
commerzbank-ag,Belgium
jpm-international-bank,Belgium
jpmorgan-international-bank-brussels,Belgium
p-morgan-chase-bank-national,Belgium
deutsche-bank-ag-belgium-bel,Belgium
bank-of-new-york-mellon,Belgium
cbc-banque-sa-brussels-belgium-bel,Belgium
jpm-international-bank-belgium-bel,Belgium
ing-belgium-sa-belgium-bel,Belgium
euroclear-bank-sa-brussels-belgium-bel,Belgium
kbc-bank-nv-brussels-belgium-bel,Belgium
ing-belgium-sanv-antwerp-belgium-bel,Belgium
euroclear-bank-brussels-belgium-bel,Belgium
ing-belgium-s-a-brussels-belgium-bel,Belgium
commerzbank-ag-brussels-belgium-bel,Belgium
ing-belgium-sanv-brussels-belgium-bel,Belgium
euroclear-bank-sa-belgium-bel,Belgium
bank-of-new-york-mellon-brussels-belgium-bel,Belgium
jp-morgan-international-bank-brussels-belgium-bel,Belgium
belize-bank-international-limited-belize-city-belize-blz,Belize
atlantic-bank-ltd-belize-city-belize-blz,Belize
diamond-bank-benin-sa,Benin
bank-of-bermuda,Bermuda
