fid,famt
223254,56898523.47
223255,116238361.25
223258,5000.0
223259,9990.0
223260,12000.0
223261,88.03
223262,13000.0
223263,6990.0
223264,8000.0
223265,6990.0
223266,7090.0
223267,13000.0
223268,400.01
223269,7290.0
223270,7290.0
223271,7090.0
223272,7290.0
223273,7390.0
223274,7290.0
223275,7240.0
223276,7280.0
223277,7290.0
223278,7189.0
223279,6990.0
223280,7160.0
223281,28973.97
223282,3334.42
223283,475.0
223284,2884.21
223285,5000.0
223286,400.0
223287,350.0
223288,200.0
223289,200.0
223290,240.0
223291,250.0
223292,1827.41
223293,400.0
223294,772.0
223295,459.49
223296,167.0
223297,1320.44
223298,112.32
223299,200.0
223300,300.0
223301,290.0
223302,1880.0
223303,480.0
223304,146.0
223305,600.0
223306,500.0
223307,195.0
223308,40.0
223309,490.0
223310,197.44
223311,9990.0
223312,370.0
223313,979.0
223314,19990.0
223315,2174.73
223316,535.0
223317,5380.0
223318,607.49
223319,1490.0
223320,210.0
223321,419.15
223322,2519.94
223323,437.86
223324,2500.0
223325,1245.0
223326,300.0
223327,636.65
223328,500.0
223329,700.0
223330,750.0
223331,435.67
223332,290.0
223333,506.14
223334,1150.0
223335,544.0
223336,1490.0
223337,390.0
223338,40.0
223339,1990.0
223340,990.5
223341,90.0
223342,1558.0
223343,667.94
223344,890.71
223345,3654.55
223346,224.18
223347,14417.0
223348,980.0
223349,22990.0
223350,34644.35
223351,40000.0
223352,36855.87
223353,750.0
223354,70000.0
223355,825.0
223356,16510.0
223357,105.0
223360,1708383.56
223372,9962160.0
223373,124808.13
223374,3361767.58
223375,57980.64
223377,15000.0
223378,77.62
223380,18355226.94
223381,374379.05
223382,393371.39
223383,392174.28
223384,376794.78
223385,30253.0
223388,42986.36
223389,42986.36
223400,13791857.01
223452,19850.0
223453,14000.0
223454,22000.0
223455,30000.0
223456,8000.0
223521,54963.0
223522,30000.0
223523,29963.0
223524,50000.0
223525,25000.0
223526,9988.0
223527,20000.0
223528,120000.0
223529,30000.0
223530,14000.0
223531,17963.0
223532,39963.0
223533,39963.0
223537,4913.0
223538,4913.0
223539,2963.0
223540,2463.0
223541,2963.0
223542,4463.0
223543,2463.0
223544,2463.0
223545,2131.4
223563,113900.0
223564,6980.0
223565,40800.0
223566,17450.0
223567,117300.0
223568,399870.0
223615,13374849.28
223627,16084899.0
223649,1355.82
223650,2091.82
223651,2191.82
223652,2241.82
223653,2391.82
223654,2391.82
223655,2391.82
223656,2841.82
223657,2991.82
223658,2991.82
223659,3291.82
223660,3291.82
223661,3665.82
223662,4111.82
223663,5991.82
223664,5991.82
223665,6891.82
223666,6951.82
223667,11241.82
223668,11991.82
223669,12923.64
223670,42986.36
223683,2436000.0
223684,4035652.52
223685,28000000.0
223686,4000000.0
223687,5397069.22
223688,2956552.0
223689,2970217.07
223690,3600000.0
223691,2250000.0
223692,40075000.0
223694,270420.0
223839,3552481.6
223840,3969642.0
223842,9171522.17
223844,7181193.66
223845,24075000.0
223846,81000.0
223847,17519500.0
223873,2400018.0
223874,1750000.0
223875,300000.0
223876,2012944.86
223877,3248764.0
223878,2000385.0
223879,1254203.0
223880,3985000.0
223881,4388917.58
223882,1501920.0
223883,3834432.0
223884,5499955.67
223885,9199004.0
223886,54988.89
223887,13831088.66
223898,1999978.0
223903,2431100.0
223904,7261295.76
223905,7699923.89
223907,11000000.0
223908,17622532.16
223909,20750000.0
223931,375.0
223932,238.61
223933,15448.0
223935,3485.0
223936,599088.0
223937,1400000.0
223938,11277.0
223939,205.48
223940,790753.42
223941,126547.21
223942,280.0
223943,78800.0
223944,59.0
223945,29.5
223946,200000.0
223948,2000000.0
223984,29204.0
223986,13526.0
223991,167000.0
224001,7750.0
224002,9000.0
224003,31000.0
224004,40000.0
224005,30000.0
224017,45695485.29
224019,166157.08
224028,10000.0
224044,3512000.0
224045,6000000.0
224046,6132493.6
224047,5285839.33
224048,11374272.45
224049,12537500.0
224050,10000000.0
224051,10000000.0
224052,33599900.0
224053,40380000.0
224057,1762600.0
224059,13449615.0
224060,1001444.0
224064,128899.0
224065,582437.0
224066,5558208.72
224101,13100000.0
224119,35495.0
224120,7055000.0
224141,25630.0
224149,650000.0
224182,318990.0
224183,709161.73
224184,807000.0
224186,5420.0
224187,5000.0
224188,50000.0
224190,47000.0
224191,320000.0
224192,34995.0
224202,4000000.0
224216,191904.34
224217,204430.75
224218,220567.7
224219,296928.14
224220,302581.9
224221,323980.0
224222,499998.45
224223,511605.94
224224,555336.72
224225,819632.73
224249,1169620.0
224250,1138586.0
224251,1445219.33
224252,1654639.27
224253,1761300.0
224254,1774970.0
224255,2399800.0
224256,3970472.0
224257,4049460.42
224296,1000100.0
224297,1460000.0
224298,1649874.0
224299,1669762.9
224300,2065860.0
224332,36162662.54
224333,44733695.21
224334,18489359.33
224337,33799823.89
224342,6000000.0
224343,2555000.0
224344,7000000.0
224345,6750000.0
224355,78312.48
224365,3944147.0
224366,3850000.0
224367,6684390.0
224368,7522515.0
224370,11067775.0
224371,1529500.0
224372,598392.75
224373,11615352.5
224374,69500.0
224375,323400.0
224376,44254.0
224377,44969.0
224378,46669.0
224379,46879.0
224380,48809.0
224381,50722.0
224382,68282.0
224385,366796.0
224386,444091.0
224405,242918.68
224406,304591.65
224448,249500.0
224449,254182.0
224451,299640.0
224452,299670.0
224453,299898.0
224460,10000000.0
224486,9005.0
224487,9415.12
224488,16156.01
224516,199547810.2
224518,18182145.3
224519,598000.0
224546,725584.0
224547,483840.0
224550,43889.0
224551,200000.0
224552,15000.0
224553,15000.0
224556,99965.0
224557,202910.5
224558,103480.5
224559,35817.5
224560,104815.5
224561,26311.5
224562,102878.5
224563,12075.0
224564,12075.0
224565,12075.0
224566,12075.0
224567,26675.0
224568,12075.0
224569,22573.0
224570,12075.0
224571,25600.0
224572,12175.0
224573,33245.0
224574,12175.0
224575,12175.0
224576,25825.0
224577,9946.0
224578,9942.0
224579,9957.0
224580,9968.0
224581,9980.0
224582,9972.0
224583,9974.0
224584,9970.0
224585,9978.0
224586,9981.0
224587,9976.0
224588,9980.0
224589,9984.0
224590,9985.0
224591,9984.0
224592,9990.0
224593,9932.0
224594,9940.0
224595,9942.0
224596,9954.0
224597,9943.0
224598,9948.0
224599,9943.0
224600,9949.0
224601,9958.0
224602,9960.0
224603,9953.0
224604,9964.0
224605,9969.0
224606,9969.0
224607,9975.0
224608,9979.0
224609,9971.0
224610,9975.0
224611,45302.0
224612,9978.0
224613,9985.0
224614,9981.0
224615,9987.0
224616,9984.0
224617,72025.0
224618,39990.0
224619,9990.0
224620,9982.0
224621,9984.0
224622,50105.0
224623,9977.0
224624,9973.0
224625,9974.0
224626,9980.0
224627,9978.0
224628,9982.0
224629,9984.0
224630,49190.0
224631,47565.0
224632,18265.0
224633,23089.0
224634,14143.0
224635,44840.0
224636,24357.0
224637,44840.0
224638,32650.0
224639,29690.0
224640,15440.0
224641,32660.0
224723,2510568.34
224724,2499961.0
224725,2814980.0
224726,2860562.43
224727,3999629.79
224728,4920748.22
224729,8904547.49
224730,3000000.0
224731,6000000.0
224732,51117520.0
224733,68700000.0
224735,1944.97
224744,76288169.0
224749,284.25
224750,6000.0
224766,5000.0
224769,1690.0
224771,2945.0
224781,6025.0
224785,5100.0
224787,5100.0
224810,4975.0
224811,5122.0
224812,5140.0
224813,7651.2
224814,8460.0
224815,14495.0
224816,19810.0
224817,36331.44
224818,71375.0
224860,747469.53
224861,57138.86
224862,5084496.08
224866,6575259.0
224867,14634005.0
224868,29062740.0
224961,16190000.0
224979,3179386.3
224980,3200000.0
224981,3450000.0
224982,4347170.88
224983,5800000.0
224985,7615000.0
224986,8691138.52
224987,10000000.0
224988,10000000.0
224990,347300.0
224993,3250000.0
224994,1190000.0
224995,1507007.31
224996,1541912.9
224997,1549402.5
224998,1673339.38
224999,1820895.54
225000,2345700.0
225001,3551414.54
225002,7065572.0
225012,55000.0
225015,99247.0
225016,200000.0
225017,202517.58
225018,400000.0
225019,1262566.75
225020,705000.0
225021,7896772.43
225038,1706554.16
225039,2000000.0
225040,2774000.0
225041,3000000.0
225042,3800000.0
225043,4814000.0
225044,5250000.0
225045,10000000.0
225046,4625929.64
225047,5950260.0
225073,551020.56
225074,463974.0
225076,676798.83
225077,320000.0
225078,1342831.2
225079,447610.4
225082,1899974.0
225083,986892.0
225102,530000.0
225189,5657.0
225190,6560.0
225191,12000.0
225192,3595.0
225193,2680.0
225196,50000.0
225199,6695.0
225201,1080.0
225202,2000.0
225217,110000.0
225255,300015.0
225256,200000.0
225257,388000.0
225260,985000.0
225261,500000.0
225262,450000.0
225263,200000.0
225264,400000.0
225265,200000.0
225301,1580565.0
225302,1739839.39
225303,1969800.0
225304,1999947.0
225305,2013955.0
225306,2399930.0
225307,2999960.0
225308,3199905.0
225309,4000000.0
225310,4999985.0
225883,101000.0
225884,100000.0
225885,120000.0
225886,300000.0
225887,1000000.0
225888,842661.0
225889,6570585.0
225890,1947360.0
225891,1199800.0
225893,249428.24
225903,2774930.0
225904,90000.0
225905,126000.0
225906,108000.0
225912,4399640.0
225913,679480.0
225914,1000000.0
225915,1900000.0
225916,1200000.0
225919,2880000.0
225920,795530.0
225921,82850.0
225928,2488.62
225929,90000.0
225930,100000.0
225932,2807744.9
225933,813581.64
225934,126057.81
225935,112.0
225936,1009.5
225937,166033.07
225948,80000.0
225949,95928.0
225950,95928.94
225951,159710.0
225952,159860.0
225954,160000.0
225955,239670.0
225956,330000.0
225957,480000.0
225991,41500.0
225992,300889.86
225998,2180000.0
225999,2000000.0
226008,174948.77
226009,179860.72
226010,185626.35
226011,210252.6
226012,234553.74
226013,311871.96
226014,384948.74
226015,771460.0
226017,2430085.0
226029,547250.0
226030,1338290.0
226031,1429569.43
226032,1162250.0
226033,4946890.0
226034,7264230.0
226035,17846310.19
226036,3024874.91
226037,48246445.62
226038,3056232.66
226059,29110.0
226060,45400.0
226061,7370.0
226062,114414.0
226063,298402.0
226064,2050.0
226065,10000000.0
226066,23955.0
226067,22965.0
226068,2765.0
226069,9975.0
226070,117453.0
226071,149980.0
226072,163798.54
226073,169438.27
226074,2765.0
226075,9975.0
226076,74985.0
226077,99000.0
226078,294850.0
226079,399686.97
226080,469500.0
226104,54411.68
226105,695000.0
226108,3600.0
226109,17188.0
226110,49119.5
226111,62085.13
226114,1720942.4
226115,1000000.0
226116,1511980.0
226117,5149975.15
226118,2792000.0
226119,1760000.0
226120,1141505.36
226121,1020000.0
226122,473319.6
226123,5997500.0
226124,2400000.0
226128,627892.5
226129,766282.0
226130,906931.68
226131,1270184.0
226132,1613760.86
226134,4152900.0
226147,8173377.6
226162,2000000.0
226163,1699995.0
226165,1971182.94
226167,6702360.44
226168,3984860.56
226170,1911816.62
226197,207850.0
226198,220174.0
226199,242500.0
226201,258100.0
226202,300543.0
226203,367175.0
226204,372085.0
226205,534948.0
226206,671828.0
226236,46247.91
226237,81601.19
226238,96521.57
226239,109956.0
226240,133934.03
226241,982085.64
226242,3426847.29
226243,205115.19
226249,1776624.0
226282,1468740.8
226283,1499450.0
226284,1500000.0
226285,2058500.0
226289,6200888.0
226290,4000000.0
226291,4000000.0
226292,665000.0
226296,290511.35
226297,145254.0
226312,1022.38
226313,410000.0
226314,439808.0
226315,500000.0
226316,536792.25
226317,540000.0
226318,11926.5
226319,814000.0
226320,852751.55
226321,4093000.0
226322,10000000.0
226323,10500000.0
226324,4110584.56
226332,15000.0
226366,148781.29
226367,93369.26
226368,912096.75
226378,3640.0
226379,16412.5
226380,24105.12
226381,26520.0
226382,50013.2
226383,63520.5
226384,82555.2
226385,54644.0
