fid,oid,bid
237118,dbs-bank,china-construction-bank-corporation-beijing-china-chn
231963,sg-private-banking,societe-generale-bank-cyprus-ltd-sg-cyprus-cyp
237802,china-merchants-bank-h-o,asb-bank-limited-auckland-new-zealand-nzl
235137,marfin-pank-eesti-as,united-overseas-bank-limited-singapore-sgp
225192,deutsche-bank-ag,united-overseas-bank-limited-singapore-sgp
225199,commercial-bank-of-ceylon-plc,united-overseas-bank-limited-singapore-sgp
225196,anz-royal-bank,united-overseas-bank-limited-singapore-sgp
243256,moldindconbank,united-overseas-bank-limited-singapore-sgp
227500,dbs-bank-ltd,united-overseas-bank-limited-singapore-sgp
243254,aktsionernyy-kommercheskiy-bank-basmannyy,united-overseas-bank-limited-singapore-sgp
235310,oversea-chinese-banking-corp-ltd,united-overseas-bank-limited-singapore-sgp
226078,standard-chartered-bank-hk-ltd,united-overseas-bank-limited-singapore-sgp
225191,sparkasse-dachau,united-overseas-bank-limited-singapore-sgp
235309,oversea-chinese-banking-corp-ltd,united-overseas-bank-limited-singapore-sgp
238475,diamondbank-togo,united-overseas-bank-limited-singapore-sgp
225190,sparkasse-dachau,united-overseas-bank-limited-singapore-sgp
227506,dbs-bank-ltd,united-overseas-bank-limited-singapore-sgp
235319,pt-bank-uob-indonesia,united-overseas-bank-limited-singapore-sgp
235499,bank-of-communications,united-overseas-bank-limited-singapore-sgp
224064,pt-bank-mandiri,united-overseas-bank-limited-singapore-sgp
227499,citibank-na,united-overseas-bank-limited-singapore-sgp
226080,standard-chartered-bank-hk-ltd,united-overseas-bank-limited-singapore-sgp
224149,bank-dbs-indonesia-pt,united-overseas-bank-limited-singapore-sgp
237293,dbs-bank-ltd,united-overseas-bank-limited-singapore-sgp
225201,bank-of-america-na,united-overseas-bank-limited-singapore-sgp
243257,primorye-bank,united-overseas-bank-limited-singapore-sgp
235498,bank-of-communications,united-overseas-bank-limited-singapore-sgp
225202,bank-of-america-na,united-overseas-bank-limited-singapore-sgp
237739,banco-de-oro-unibank-inc,united-overseas-bank-limited-singapore-sgp
225193,deutsche-bank-ag,united-overseas-bank-limited-singapore-sgp
239769,versobank-as,united-overseas-bank-limited-singapore-sgp
235024,amsterdam-trade-bank-nv,united-overseas-bank-limited-singapore-sgp
235500,bank-of-communications,united-overseas-bank-limited-singapore-sgp
235494,bank-of-communications,united-overseas-bank-limited-singapore-sgp
225189,sparkasse-dachau,united-overseas-bank-limited-singapore-sgp
235497,bank-of-communications,united-overseas-bank-limited-singapore-sgp
235154,dbs-bank,bank-of-communications-shanghai-china-chn
230956,nordea-bank-polska-sa,bank-of-communications-shanghai-china-chn
228067,standard-chartered-bank-hong-kong-ltd,bank-of-communications-shanghai-china-chn
227468,scsb-savings-department-branch,bank-of-communications-shanghai-china-chn
235501,bank-of-hebei-tangshan-branch,bank-of-communications-shanghai-china-chn
230951,primorye-bank,bank-of-communications-shanghai-china-chn
238315,ltb-bank,kazkommertsbank-almaty-kazakhstan-kaz
225082,trasta-komercbanka,kazkommertsbank-almaty-kazakhstan-kaz
237577,trasta-komercbanka,kazkommertsbank-almaty-kazakhstan-kaz
225074,trasta-komercbanka,kazkommertsbank-almaty-kazakhstan-kaz
238430,maiwand-bank,kazkommertsbank-almaty-kazakhstan-kaz
235261,baltikums-bank,kazkommertsbank-almaty-kazakhstan-kaz
238369,seb-pank,kazkommertsbank-almaty-kazakhstan-kaz
237109,seb-pank,kazkommertsbank-almaty-kazakhstan-kaz
238144,maiwand-bank,kazkommertsbank-almaty-kazakhstan-kaz
226111,hong-kong-shanghai-banking-corp,standard-chartered-bank-singapore-sgp
238695,bnp-paribas-suisse,standard-chartered-bank-singapore-sgp
238699,regionala-investiciju-banka,standard-chartered-bank-singapore-sgp
235120,credit-suisse-ag,standard-chartered-bank-singapore-sgp
226077,united-overseas-bank-limited,standard-chartered-bank-singapore-sgp
238330,deutsche-bank-ag,standard-chartered-bank-singapore-sgp
237166,regionala-investiciju-banka,standard-chartered-bank-singapore-sgp
