model,metric,CI low,CI high
HexGIN,f1,0.7773947477638722,0.8056547455191613
HexGIN,precision,0.7578329654633998,0.8026305384039879
HexGIN,recall,0.7949640649706124,0.8697695672214031
HexGIN,rocauc,0.8715247803032398,0.8920534893274308
SAGE,f1,0.7370039109885693,0.7564144723415375
SAGE,precision,0.669896546959877,0.7150093204379081
SAGE,recall,0.8099355265647172,0.889179710060358
SAGE,rocauc,0.8107276734113693,0.8282522085011006
MLP,f1,0.7147044410705566,0.7518702540099621
MLP,precision,0.6939657126963138,0.7390038915276528
MLP,recall,0.7413076089918614,0.8297283270955086
MLP,rocauc,0.8005827303826809,0.8322177745103836
